Paper Title,Authors,Year Published
How software works: Computational thinking and ethics before CS1,"['A Scott', 'S Barlowe']",2016
A pilot study on the impact of creative achievement on academic achievement in media-oriented CS1,"['P Gestwicki', 'K Ahmad']",2010
A new CS0 course for at-risk majors,"['M Rizvi', 'T Humphries', 'D Major']",2011
Initial experiences with a CS+ Law introduction to computer science (CS 1),"['RH Sloan', 'C Taylor', 'R Warner']",2017
Mediated transfer: Alice 3 to java,"['W Dann', 'D Cosgrove', 'D Slater', 'D Culyba']",2012
Evaluating a breadth-first cs 1 for scientists,"['Z Dodds', 'R Libeskind-Hadas', 'C Alvarado']",2008
"PythonSneks: an open-source, instructionally-designed introductory curriculum with action-design research","['AC Bart', 'A Sarver', 'M Friend', 'L Cox II']",2019
Introductory programming in a web context,['M De Raadt'],2010
Enhancing an introductory programming course with physical computing modules,"['MA Rubio', 'R Romero-Zaliz', 'C Mañoso']",2014
The effects of pair-programming on individual programming skill,"['G Braught', 'LM Eby', 'T Wahls']",2008
How Prior Programming Experience Affects Students' Pair Programming Experiences and Outcomes,"['NA Bowman', 'L Jarratt', 'KC Culver']",2019
Building pair programming knowledge through a family of experiments,"['L Williams', 'C McDowell', 'N Nagappan']",2003
Increased retention of early computer science and software engineering students using pair programming,"['JC Carver', 'L Henderson', 'L He']",2007
"The impact of pair programming on student performance, perception and persistence","['C McDowell', 'L Werner', 'HE Bullock']",2003
Coupling pair programming and writing: learning about students' perceptions and processes,['T VanDeGrift'],2004
A large-scale experimental study of gender and pair composition in pair programming,"['L Jarratt', 'NA Bowman', 'KC Culver']",2019
The case for pair programming in the computer science classroom,"['G Braught', 'T Wahls', 'LM Eby']",2011
Thematic analysis of students' reflections on pair programming in cs1,"['M Celepkolu', 'KE Boyer']",2018
Exploring the pair programming process: Characteristics of effective collaboration,"['FJ Rodríguez', 'KM Price', 'KE Boyer']",2017
An empirical study of the effects of conscientiousness in pair programming using the five-factor personality model,"['N Salleh', 'E Mendes', 'J Grundy']",2010
Investigating the effects of personality traits on pair programming in a higher education setting through a family of experiments,"['N Salleh', 'E Mendes', 'J Grundy']",2014
Pair programming in introductory programming labs,"['E Wiebe', 'L Williams', 'J Petlick', 'N Nagappan']",2003
Investigating the effective implementation of pair programming: an empirical investigation,"['AD Radermacher', 'GS Walia']",2011
Improving student learning outcomes with pair programming,"['A Radermacher', 'G Walia', 'R Rummelt']",2012
Pair programming in education: A literature review,"['B Hanks', 'S Fitzgerald', 'R McCauley']",2011
Program quality with pair programming in CS1,"['B Hanks', 'C McDowell', 'D Draper']",2004
First-year students' impressions of pair programming in CS1,"['B Simon', 'B Hanks']",2008
It's never too early: pair programming in CS1,"['K Wood', 'D Parsons', 'J Gasson']",2013
Student performance in CS1 with distributed pair programming,['B Hanks'],2005
Hybrid pair programming-a promising alternative to standard pair programming,"['H Yuan', 'Y Cao']",2019
Pair programming in an introductory computer science course: Initial results and recommendations,"['L Williams', 'K Yang', 'E Wiebe', 'M Ferzli']",2002
Pair programming: Not for everyone?,['JP Somervell'],2006
The importance of producing shared code through pair programming,"['M Celepkolu', 'KE Boyer']",2018
Evaluating pair-programming for non-computer science major students,"[""C O'Donnell"", 'J Buckley', 'A Mahdi', 'J Nelson']",2015
Designing a CS1 programming course for a mixed-ability class,['A Mohamed'],2019
Improving first-year success and retention through interest-based CS0 courses,"['M Haungs', 'C Clark', 'J Clements', 'D Janzen']",2012
"The Impact of Pair Programming on College Students' Interest, Perceptions, and Achievement in Computer Science","['NA Bowman', 'L Jarratt', 'KC Culver']",2021
"Using animation, virtual worlds, pair programming and activities to introduce computer science",['SH Rodger'],2001
A CS0 course for the liberal arts,['DC Cliburn'],2006
Separation of syntax and problem solving in Introductory Computer Programming,"['JM Edwards', 'EK Fulton', 'JD Holmes']",2018
Contextualized learning tools: animations and robots,"['A Remshagen', 'C Rolka']",2014
Extreme apprenticeship method in teaching programming for beginners,"['A Vihavainen', 'M Paksula', 'M Luukkainen']",2011
Study attitudes and behaviour of CS1 students-two realities.,"['AP Ambrosio', 'SW Martins']",2011
Exploring machine learning methods to automatically identify students in need of assistance,"['A Ahadi', 'R Lister', 'H Haapala']",2015
"Programmed to succeed?: A multi-national, multi-institutional study of introductory programming courses","['I Box', 'J Hamer', 'M Hamilton', 'R Lister']",2005
